category_group,category
animals,birds
animals,cats
animals,dogs
animals,exotic pets
animals,fish
animals,pets
outdoors,agriculture
outdoors,camping
outdoors,climbing
outdoors,environment
outdoors,forestry
outdoors,hiking
outdoors,nature
outdoors,survival
design,advertising
design,architecture
design,computer aided design
design,computer graphics
design,interior design
design,graphic design
design,industrial design
design,photoshop
fine arts,art history
fine arts,arts
fine arts,drawing
fine arts,painting
fine arts,photography
fine arts,sculpture
performing arts,ballet
performing arts,dancing
performing arts,live theater
performing arts,musicals
business and careers,business
business and careers,career planning
business and careers,consumer info
business and careers,entrepreneurship
business and careers,home business
business and careers,management and hr
business and careers,marketing
education,continuing education
education,education
education,homeschooling
education,library resources
education,research
education,self improvement
education,univerity/college
finance,accounting
finance,banking
finance,capitalism
finance,daytrading
finance,economics
finance,financial planning
finance,insurance
finance,investing
finance,real estate
finance,taxation
crafts,antiques
crafts,collecting
crafts,crafts
crafts,crochet
crafts,dolls/puppets
crafts,knitting
crafts,memorabilia
crafts,quilting
crafts,scrapbooking
crafts,sewing
crafts,woodworking
fashion and beauty,beauty
fashion and beauty,clothing
fashion and beauty,ecommerce
fashion and beauty,fashion
fashion and beauty,jewelry
fashion and beauty,shopping
genetics and biology,anatomy
genetics and biology,biomechanics
genetics and biology,biotech
genetics and biology,cognitive science
genetics and biology,evolution
genetics and biology,genetics
genetics and biology,microbiology
genetics and biology,neuroscience
genetics and biology,pharmacology
genetics and biology,physiology
health,alternative health
health,antiaging
health,dentistry
health,doctors/surgeons
health,ergonomics
health,kinesiology
health,medical science
health,mental health
health,nursing
health,physical therapy
health,psychiatry
health,psychology
health,sexual health
health,weight loss
alternative culture,alternative news
alternative culture,conspiracies
alternative culture,counterculture
alternative culture,crime
alternative culture,drugs
alternative culture,forensics
alternative culture,lgbtq
alternative culture,paranormal
alternative culture,subculture
alternative culture,tattoos/piercing
history,ancient history
history,anthropology
history,archaeology
history,classical studies
history,history
history,medieval history
history,philosophy
world culture,africa
world culture,african americans
world culture,asia
world culture,australia
world culture,brazil
world culture,canada
world culture,caribbean
world culture,central america
world culture,china
world culture,culture/ethnicity
world culture,eastern studies
world culture,europe
world culture,france
world culture,geography
world culture,germany
world culture,india
world culture,iraq
world culture,ireland
world culture,israel
world culture,italy
world culture,japan
